"in_speed","out_speed"
0.0,0.0
0.9999833334166665,0.049999166670833324
1.999866669333308,0.1499925001374987
2.999550020249566,0.299970001149977
3.998933418663416,0.4999166720831479
4.997916927067833,0.7498125184365396
5.996400647944459,1.0496325508337625
6.994284733753277,1.3993467875214265
7.991469396917269,1.7989202573672898
8.987854919801103,2.248313003357345
9.983341664682815,2.747480086591486
10.977830083717482,3.2963715907773596
11.971220728891936,3.8949326272219564
12.963414261969486,4.543103340320431
13.954311464423649,5.240818913541614
14.943813247359921,5.98800957590961
15.931820661424597,6.78460060898084
16.918234906699603,7.630512354315821
17.902957342582418,8.52566022144494
18.88588949765006,9.469954696327445
19.866933079506122,10.46330135030275
20.845989984609954,11.455601682862413
21.822962308086932,12.446756464800096
22.79775235351884,13.43666658146356
23.77026264271346,14.425233042666061
24.740395925452294,15.412356992585284
25.70805518921551,16.397939719648836
26.673143668883114,17.38188266640533
27.635564856411378,18.364087439380036
28.595222510483552,19.344455818914152
29.552020666133956,20.32288976898671
30.50586364434435,21.299291447018057
31.456656061611778,22.27356321365405
32.40430283948684,23.24560764252992
33.34870921408144,24.215327530012807
34.28978074554514,25.18262590492207
35.227423327508994,26.14740603822629
36.1615431964962,27.109571452716118
37.09204694129827,28.069025932651908
38.01884151231614,29.02567353338522
38.941834230865055,29.979418590953163
39.86093279844229,30.93016573164478
40.77604530595701,31.877819881538283
41.68708024292108,32.8222862760084
42.59394650659996,33.76347046920272
43.496553411123024,34.70127834348626
44.39481069655198,35.63561611885308
45.28862853790683,36.56639036230426
46.17791755414829,37.49350799719112
47.0625888171158,38.416876312522724
47.942553860420304,39.336402972237046
48.817724688290745,40.251996024434355
49.68801378437367,41.16356391057245
50.55333412048469,42.07101547462234
51.41359916531132,42.97425997218384
52.26872289306592,43.87320707955988
53.11861979208834,44.76776690278884
53.96320487339692,45.65784998663388
54.802393679187354,46.54336732352833
55.63610229127838,47.42423036247644
56.46424733950354,48.300351017908376
57.28674601004813,49.17164167848866
58.10351605373051,50.03801521587734
58.91447579422695,50.89938499344263
59.71954413623921,51.75566487492459
60.51864057360395,52.60676923304864
61.31168519734338,53.45261295808821
62.09859870365597,54.29311146637567
62.87930240184686,55.1281807087606
63.65371822219679,55.95773717901464
64.4217687237691,56.78169792218209
65.18337710215366,57.59998054287522
65.9384671971473,58.4125032135139
66.68696350036979,59.21918468250816
67.4287911628145,60.019944282383335
68.16387600233341,60.8147019378467
68.89214451105514,61.60337817379504
69.61352386273568,62.385894123261984
70.32794192004101,63.162171535304665
71.03532724176078,63.93213278282877
71.73560908995228,64.6957008703512
72.42871743701426,65.45279944169951
73.11458297268958,66.20335278764747
73.79313711099627,66.94728585348592
74.46431199708593,67.68452424652826
75.12804051402927,68.41499424354951
75.78425628952769,69.13862279815875
76.4328937025505,69.85533754810349
77.07388788989692,70.565066822506
77.70717475268239,71.26773964903028
78.33269096274834,71.96328576097925
78.95037396899505,72.65163560432131
79.5601620036366,73.33272034464578
80.16199408837772,74.00647187404618
80.75581004051142,74.672822817931
81.34155047893738,75.3317065417612
81.91915683009982,75.98305715771345
82.488571333845,76.62680953126889
83.04973704919705,77.2628992877267
83.60259786005206,77.89126281864127
84.14709848078965,78.51183728818314
84.68318446180152,79.12456063942251
85.21080219493629,79.72937160053485
85.72989891886034,80.32620969092805
86.24042272433384,80.91501522729047
86.7423225594017,81.49572932955908
87.23554823449862,82.06829392680763
87.72005042746817,82.63265176305349
88.19578068849475,83.18874640298337
88.66269144494872,83.73652223759669
89.12073600614355,84.27592448976644
